time,lat,lon,u,v
2021-11-06 02:00:00,36.0119,14.3664,-0.2458437668178142,-0.04930279593072974
2021-11-06 22:00:00,36.0119,14.3664,-0.13307168417028206,-0.11484010889745593
2021-11-06 23:00:00,36.0119,14.3664,-0.005544834695913656,-0.0749034009312244
2021-11-07 20:00:00,36.0119,14.3664,0.1483694408390884,-0.14656064484707698
2021-11-07 23:00:00,36.0119,14.3664,0.08805397404639088,-0.12440087955119793
2021-11-08 20:00:00,36.0119,14.3664,0.011008918276759759,-0.06088158255437779
2021-11-08 21:00:00,36.0119,14.3664,-0.027916649590731698,-0.07606764692219024
2021-11-08 22:00:00,36.0119,14.3664,0.011139041159721105,-0.11796257423012889
2021-11-09 00:00:00,36.0119,14.3664,0.04541305824440151,-0.09004111636414228
2021-11-09 05:00:00,36.0119,14.3664,0.10273296518707342,-0.1081776371006979
2021-11-09 06:00:00,36.0119,14.3664,0.0967621580613666,0.4198161155215911
2021-11-09 17:00:00,36.0119,14.3664,0.1464071792372304,0.14959263086528132
2021-11-09 18:00:00,36.0119,14.3664,0.013998329701606516,-0.07368693416282336
2021-11-09 19:00:00,36.0119,14.3664,-0.4290092993444695,-0.09938449298530405
2021-11-09 20:00:00,36.0119,14.3664,-0.3086419634253713,0.004590634512325222
2021-11-10 01:00:00,36.0119,14.3664,-0.05694063877273533,0.03418845439280445
2021-11-10 02:00:00,36.0119,14.3664,-0.0003904197421675448,0.04143459600263341
2021-11-10 03:00:00,36.0119,14.3664,-0.3391216500153787,0.0076963781193809784
2021-11-10 04:00:00,36.0119,14.3664,0.013792169153900271,-0.005045191927597127
2021-11-10 05:00:00,36.0119,14.3664,-0.044960595866531665,-0.007765050075290027
2021-11-10 06:00:00,36.0119,14.3664,-0.05984803434170537,0.03285747752474881
2021-11-11 20:00:00,36.0119,14.3664,0.2387373488327175,0.2886337154461029
2021-11-11 21:00:00,36.0119,14.3664,-0.08298640248987066,-0.0095902855255552
2021-11-11 22:00:00,36.0119,14.3664,-0.0009677264638418594,0.2628221772924392
2021-11-11 23:00:00,36.0119,14.3664,-0.11929465998626972,0.17030762312642173
2021-11-12 00:00:00,36.0119,14.3664,-0.310849320156772,-0.009588034068895131
2021-11-12 01:00:00,36.0119,14.3664,-0.11313761915293055,0.17346296708587433
2021-11-12 02:00:00,36.0119,14.3664,-0.1166328506693698,0.14683197236770837
2021-11-12 03:00:00,36.0119,14.3664,0.17181307483824199,0.3364670905349407
2021-11-12 04:00:00,36.0119,14.3664,0.09089802756018923,-0.03454645451844247
2021-11-12 05:00:00,36.0119,14.3664,0.18953322844586148,0.2797075584385653
2021-11-12 06:00:00,36.0119,14.3664,0.14563417755935437,0.4023703929584262
2021-11-12 07:00:00,36.0119,14.3664,0.1915766934135398,0.31226005347033053
2021-11-12 14:00:00,36.0119,14.3664,-0.10875545063203615,0.13585354787145942
2021-11-12 15:00:00,36.0119,14.3664,-0.197280613607239,0.048470988118450235
2021-11-12 16:00:00,36.0119,14.3664,-0.1544316641721946,0.12172136156878877
2021-11-12 18:00:00,36.0119,14.3664,0.12014332028533767,0.2615182251351089
2021-11-12 20:00:00,36.0119,14.3664,0.02934766725203549,0.19015381584357105
2021-11-13 12:00:00,36.0119,14.3664,0.13820949536423788,0.32633993134935724
2021-11-13 13:00:00,36.0119,14.3664,0.14509311953540366,0.3272239872358475
2021-11-13 14:00:00,36.0119,14.3664,0.1519144229870925,0.35517038370929443
2021-11-13 15:00:00,36.0119,14.3664,0.11820986770834287,0.33398912900804023
2021-11-13 19:00:00,36.0119,14.3664,0.25047807278522954,0.37770473923855385
2021-11-14 10:00:00,36.0119,14.3664,0.06986161845671518,0.2372845797107004
2021-11-15 03:00:00,36.0119,14.3664,-0.07410183077240465,-0.01758258719294975
2021-11-15 04:00:00,36.0119,14.3664,0.11608334252211122,-0.05861722903110681
2021-11-16 19:00:00,36.0119,14.3664,-0.004922890609172729,-0.013348182139001023
2021-11-16 20:00:00,36.0119,14.3664,0.13427333398473587,-0.07160579706992883
2021-11-16 21:00:00,36.0119,14.3664,0.07958317627582444,-0.05525419646709168
2021-11-17 09:00:00,36.0119,14.3664,-0.02462475742035719,-0.13228161077662276
2021-11-17 20:00:00,36.0119,14.3664,-0.019990644582985464,-0.22328168379427185
2021-11-17 23:00:00,36.0119,14.3664,-0.08360777343625173,-0.050564358979006484
2021-11-18 01:00:00,36.0119,14.3664,0.03585869426818123,-0.04412427634308462
2021-11-18 02:00:00,36.0119,14.3664,-0.00980968423387138,-0.025390106257645248
2021-11-18 03:00:00,36.0119,14.3664,0.0017817997340150442,-0.06992111736384955
2021-11-18 04:00:00,36.0119,14.3664,0.050625753717977805,0.0011188427267779222
2021-11-18 14:00:00,36.0119,14.3664,-0.26980764914728517,-0.4901086256176865
2021-11-18 16:00:00,36.0119,14.3664,-0.006124723261098751,-0.2188769236330448
2021-11-18 19:00:00,36.0119,14.3664,0.09589855536292073,-0.12402655427698815
2021-11-19 01:00:00,36.0119,14.3664,-0.036733028105696224,-0.031220425360937547
2021-11-19 05:00:00,36.0119,14.3664,-0.12534413521235918,-0.14243929649338313
2021-11-19 09:00:00,36.0119,14.3664,-0.03129987997639582,-0.13350413876005618
2021-11-19 22:00:00,36.0119,14.3664,0.02961535758364784,-0.006821380388024233
2021-11-19 23:00:00,36.0119,14.3664,-0.021385880186312885,-0.0031331289435087128
2021-11-20 01:00:00,36.0119,14.3664,0.0035906363216686014,-0.03082293289456072
2021-11-20 09:00:00,36.0119,14.3664,-0.0143711359142676,-0.2893878517734155
