Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2022-07-18 18:00:00, 35.169474, 15.440418, 2022, 199, 18, 0, 2022, 198, 14, 1, 28.2, 8, 14.60, 254, 3, 40, -34.5, 598F2030E598CE06C6AC715699FFE808BE4D80
2022-07-18 17:00:00, 35.169474, 15.440418, 2022, 199, 17, 0, 2022, 198, 14, 1, 28.3, 1, 14.60, 254, 3, 18, -34.5, 598F1030F598CE06C6AC715699FFD201BE4D80
2022-07-18 16:00:00, 35.169474, 15.440418, 2022, 199, 16, 0, 2022, 198, 14, 1, 28.4, 8, 14.60, 254, 3, 29, -34.5, 598F00310598CE06C6AC715699FFDD08BE4D80
2022-07-18 15:00:00, 35.169474, 15.440418, 2022, 199, 15, 0, 2022, 198, 14, 1, 28.5, 7, 14.60, 254, 3, 40, -35.2, 598EF0311598CE06C6AC715699FFE807BE4A00
2022-07-18 14:00:00, 35.169474, 15.440418, 2022, 199, 14, 0, 2022, 198, 14, 1, 28.9, 10, 14.60, 254, 3, 41, -34.5, 598EE0315598CE06C6AC715699FFE90ABE4D80
2022-07-18 13:00:00, 35.169474, 15.440418, 2022, 199, 13, 0, 2022, 198, 14, 1, 29.0, 10, 14.60, 254, 3, 43, -34.5, 598ED0316598CE06C6AC715699FFEB0ABE4D80
2022-07-18 12:00:00, 35.169474, 15.440418, 2022, 199, 12, 0, 2022, 198, 14, 1, 29.0, 10, 14.60, 254, 3, 41, -34.5, 598EC0316598CE06C6AC715699FFE90ABE4D80
2022-07-18 11:00:00, 35.169474, 15.440418, 2022, 199, 11, 0, 2022, 198, 14, 1, 28.9, 23, 14.60, 254, 3, 42, -34.5, 598EB0315598CE06C6AC715699FFEA17BE4D80
2022-07-18 10:00:00, 35.169474, 15.440418, 2022, 199, 10, 0, 2022, 198, 14, 1, 28.7, 11, 14.60, 254, 3, 42, -34.5, 598EA0313598CE06C6AC715699FFEA0BBE4D80
2022-07-18 09:00:00, 35.169474, 15.440418, 2022, 199, 9, 0, 2022, 198, 14, 1, 28.4, 9, 14.60, 254, 3, 42, -34.5, 598E90310598CE06C6AC715699FFEA09BE4D80
2022-07-18 08:00:00, 35.169474, 15.440418, 2022, 199, 8, 0, 2022, 198, 14, 1, 28.2, 7, 14.60, 254, 3, 41, -34.5, 598E8030E598CE06C6AC715699FFE907BE4D80
2022-07-18 07:00:00, 35.169474, 15.440418, 2022, 199, 7, 0, 2022, 198, 14, 1, 28.1, 11, 14.60, 254, 3, 41, -34.5, 598E7030D598CE06C6AC715699FFE90BBE4D80
2022-07-18 06:00:00, 35.169474, 15.440418, 2022, 199, 6, 0, 2022, 198, 14, 1, 28.1, 26, 14.60, 254, 3, 39, -34.5, 598E6030D598CE06C6AC715699FFE71ABE4D80
2022-07-18 05:00:00, 35.169474, 15.440418, 2022, 199, 5, 0, 2022, 198, 14, 1, 28.0, 14, 14.60, 254, 3, 40, -34.5, 598E5030C598CE06C6AC715699FFE80EBE4D80
2022-07-18 04:00:00, 35.169474, 15.440418, 2022, 199, 4, 0, 2022, 198, 14, 1, 28.1, 12, 14.60, 254, 3, 38, -35.2, 598E4030D598CE06C6AC715699FFE60CBE4A00
2022-07-18 03:00:00, 35.169474, 15.440418, 2022, 199, 3, 0, 2022, 198, 14, 1, 28.1, 11, 14.60, 254, 3, 42, -34.5, 598E3030D598CE06C6AC715699FFEA0BBE4D80
2022-07-18 02:00:00, 35.169474, 15.440418, 2022, 199, 2, 0, 2022, 198, 14, 1, 28.1, 18, 14.60, 254, 3, 40, -34.5, 598E2030D598CE06C6AC715699FFE812BE4D80
2022-07-18 01:00:00, 35.169474, 15.440418, 2022, 199, 1, 0, 2022, 198, 14, 1, 28.2, 13, 14.60, 254, 3, 42, -34.5, 598E1030E598CE06C6AC715699FFEA0DBE4D80
2022-07-18 00:00:00, 35.169474, 15.440418, 2022, 199, 0, 0, 2022, 198, 14, 1, 28.2, 18, 14.60, 254, 3, 41, -34.5, 598E0030E598CE06C6AC715699FFE912BE4D80
2022-07-17 23:00:00, 35.169474, 15.440418, 2022, 198, 23, 0, 2022, 198, 14, 1, 28.3, 18, 14.60, 254, 3, 39, -34.5, 598D7030F598CE06C6AC715699FFE712BE4D80
2022-07-17 22:00:00, 35.169474, 15.440418, 2022, 198, 22, 0, 2022, 198, 14, 1, 28.4, 21, 14.60, 254, 3, 42, -34.5, 598D60310598CE06C6AC715699FFEA15BE4D80
2022-07-17 21:00:00, 35.169474, 15.440418, 2022, 198, 21, 0, 2022, 198, 14, 1, 28.6, 12, 14.60, 254, 3, 41, -34.5, 598D50312598CE06C6AC715699FFE90CBE4D80
2022-07-17 20:00:00, 35.169474, 15.440418, 2022, 198, 20, 0, 2022, 198, 14, 1, 28.9, 9, 14.60, 254, 3, 40, -34.5, 598D40315598CE06C6AC715699FFE809BE4D80
2022-07-17 19:00:00, 35.169474, 15.440418, 2022, 198, 19, 0, 2022, 198, 14, 1, 28.9, 25, 14.60, 254, 3, 40, -34.5, 598D30315598CE06C6AC715699FFE819BE4D80
