time,lat,lon,u,v
2023-11-04 00:00:00,36.0119,14.4069,0.07547766457797009,-0.080999270340406
2023-11-04 01:00:00,36.0119,14.4069,0.14468427574335474,-0.11586812095465729
2023-11-04 02:00:00,36.0119,14.4069,0.14603493412659757,-0.1451371465264134
2023-11-04 03:00:00,36.0119,14.4069,0.14887031152929397,-0.1343666461247719
2023-11-04 04:00:00,36.0119,14.4069,0.17903603231723672,-0.09193014880571744
2023-11-04 05:00:00,36.0119,14.4069,0.18170068750729423,-0.1512552185134592
2023-11-04 06:00:00,36.0119,14.4069,0.18358953921234558,-0.13129442390573598
2023-11-04 07:00:00,36.0119,14.4069,0.18325750735514099,-0.12449709860180806
2023-11-04 08:00:00,36.0119,14.4069,0.18465484294438972,-0.12110065897404629
2023-11-04 09:00:00,36.0119,14.4069,0.18080724295804135,-0.10263879326019767
2023-11-04 10:00:00,36.0119,14.4069,0.1814197818639407,-0.08830401818676906
2023-11-04 11:00:00,36.0119,14.4069,0.1841358373726276,-0.07007660284666821
2023-11-04 12:00:00,36.0119,14.4069,0.19314713049912366,-0.05463873564529943
2023-11-04 13:00:00,36.0119,14.4069,0.20699271167420158,-0.03603443314151224
2023-11-04 14:00:00,36.0119,14.4069,0.2279800783848001,-0.016733159791859298
2023-11-04 15:00:00,36.0119,14.4069,0.2574746163538164,0.0029019819215324316
2023-11-04 16:00:00,36.0119,14.4069,0.2968417113041477,0.02250788951653604
2023-11-04 17:00:00,36.0119,14.4069,0.347446748958691,0.04172146051102482
2023-11-04 18:00:00,36.0119,14.4069,0.4106551150403438,0.06017959242287163
2023-11-04 19:00:00,36.0119,14.4069,0.48783219527200317,0.0775191827699494
2023-11-04 20:00:00,36.0119,14.4069,0.5803433753765661,0.09337712907013168
2023-11-04 21:00:00,36.0119,14.4069,0.6895540410769301,0.1073903288412914
2023-11-04 22:00:00,36.0119,14.4069,0.816829578095992,0.11919567960130151
2023-11-04 23:00:00,36.0119,14.4069,0.9635353721566495,0.12843007886803526
