time,lat,lon,u,v
2023-11-01 00:00:00,36.0564,14.3664,0.08582672326570437,-0.08978315952109887
2023-11-01 01:00:00,36.0564,14.3664,0.08265701836024106,-0.07978952012978287
2023-11-01 02:00:00,36.0564,14.3664,0.07125429377202075,-0.0468897907832523
2023-11-01 03:00:00,36.0564,14.3664,0.03604311311981748,-0.03953651072102497
2023-11-01 04:00:00,36.0564,14.3664,0.03460927155800404,-0.002286084284705386
2023-11-01 05:00:00,36.0564,14.3664,-0.01443870627529686,0.018540703049254835
2023-11-01 06:00:00,36.0564,14.3664,-0.0025460409014126206,0.034590367561827484
2023-11-01 07:00:00,36.0564,14.3664,0.01635675767656955,0.02313023441082313
2023-11-01 08:00:00,36.0564,14.3664,0.07941774690045743,-0.009848128306326896
2023-11-01 09:00:00,36.0564,14.3664,0.09260402604473916,0.026910361244126692
2023-11-01 10:00:00,36.0564,14.3664,0.14377017040671813,-0.013483029675159349
2023-11-01 11:00:00,36.0564,14.3664,0.151509800733719,-0.011474046001523377
2023-11-01 12:00:00,36.0564,14.3664,0.16085745741573268,-0.033864333887464675
2023-11-01 13:00:00,36.0564,14.3664,0.17084053314636238,-0.07112234643773098
2023-11-01 14:00:00,36.0564,14.3664,0.0782873390562807,-0.012765854047859891
2023-11-01 15:00:00,36.0564,14.3664,0.08026470513345936,-0.011902665462763121
2023-11-01 16:00:00,36.0564,14.3664,0.08235173378901497,-0.011144300074015444
2023-11-01 17:00:00,36.0564,14.3664,0.08453626517683106,-0.010488029369764775
2023-11-01 18:00:00,36.0564,14.3664,0.08680613945079109,-0.00993112483815903
2023-11-01 19:00:00,36.0564,14.3664,0.0855131209186867,-0.0057155052017536685
2023-11-01 20:00:00,36.0564,14.3664,0.09155327727267717,-0.009104500245474
2023-11-01 21:00:00,36.0564,14.3664,0.0940062211283702,-0.008829323160690546
2023-11-01 22:00:00,36.0564,14.3664,0.09649586848574121,-0.00864259820114369
2023-11-01 23:00:00,36.0564,14.3664,0.09901005949867375,-0.008541596854981348
2023-11-02 00:00:00,36.0564,14.3664,0.1015366343210513,-0.008523590610351439
2023-11-02 01:00:00,36.0564,14.3664,0.10406343310675735,-0.008585850955401882
2023-11-02 02:00:00,36.0564,14.3664,0.10657829600967543,-0.008725649378280588
2023-11-02 03:00:00,36.0564,14.3664,0.1090690631836891,-0.008940257367135484
2023-11-02 04:00:00,36.0564,14.3664,0.07297932491299375,-0.04831821745211014
2023-11-02 05:00:00,36.0564,14.3664,0.053778393686374715,-0.06398616487339422
2023-11-02 06:00:00,36.0564,14.3664,0.07358366571026868,-0.044860890724350046
2023-11-02 07:00:00,36.0564,14.3664,0.11854797766836912,-0.010492214745275272
2023-11-02 08:00:00,36.0564,14.3664,0.12073586850611302,-0.011039942886229854
2023-11-02 09:00:00,36.0564,14.3664,0.12282670453825355,-0.011646109522048134
2023-11-02 10:00:00,36.0564,14.3664,0.1133414811289703,-0.0009823486967443862
2023-11-02 11:00:00,36.0564,14.3664,0.12631407950683765,-0.015061472288525488
2023-11-02 12:00:00,36.0564,14.3664,0.10673329387333011,-0.01114147402049435
2023-11-02 13:00:00,36.0564,14.3664,0.12997630368845142,-0.01460059077691651
2023-11-02 14:00:00,36.0564,14.3664,0.1313994680008274,-0.015458022209272008
2023-11-02 15:00:00,36.0564,14.3664,0.13265261843090098,-0.016357521065378706
2023-11-02 16:00:00,36.0564,14.3664,0.13372359513255574,-0.01729635883338452
2023-11-02 17:00:00,36.0564,14.3664,0.1346002382596751,-0.018271807001437365
2023-11-02 18:00:00,36.0564,14.3664,0.1352703879661426,-0.019281137057685152
2023-11-02 19:00:00,36.0564,14.3664,0.13572188440584174,-0.020321620490275815
2023-11-02 20:00:00,36.0564,14.3664,0.13594256773265603,-0.02139052878735726
2023-11-02 21:00:00,36.0564,14.3664,0.06831659778862051,-0.008304479610469782
2023-11-02 22:00:00,36.0564,14.3664,0.07198824642898081,0.03531295713924183
2023-11-02 23:00:00,36.0564,14.3664,0.119921499958671,0.029599606497789616
2023-11-03 00:00:00,36.0564,14.3664,0.0755773655803583,0.04319941476974888
2023-11-03 01:00:00,36.0564,14.3664,0.15687104891118997,-0.03532512609061264
2023-11-03 02:00:00,36.0564,14.3664,0.17606584971974765,-0.035144638806208536
2023-11-03 03:00:00,36.0564,14.3664,0.21450253193169838,-0.07154331849965413
2023-11-03 04:00:00,36.0564,14.3664,0.2011563225933172,-0.0587770288446148
2023-11-03 05:00:00,36.0564,14.3664,0.2124780485749157,-0.05322811017911759
2023-11-03 06:00:00,36.0564,14.3664,0.1227795136465039,-0.0330427066977068
2023-11-03 07:00:00,36.0564,14.3664,0.11965870288789633,-0.034244206721949444
2023-11-03 08:00:00,36.0564,14.3664,0.11616116086300601,-0.035441389468457894
2023-11-03 09:00:00,36.0564,14.3664,0.1122747277257164,-0.03663152642538005
2023-11-03 10:00:00,36.0564,14.3664,0.10798724362991106,-0.037811889080863845
2023-11-03 11:00:00,36.0564,14.3664,0.10328654872947347,-0.03897974892305718
2023-11-03 12:00:00,36.0564,14.3664,0.09816048317828714,-0.040132377440107996
2023-11-03 13:00:00,36.0564,14.3664,0.09259688713023559,-0.041267046120164186
2023-11-03 14:00:00,36.0564,14.3664,0.08658360073920232,-0.04238102645137369
2023-11-03 15:00:00,36.0564,14.3664,0.08010846415907082,-0.0434715899218844
2023-11-03 16:00:00,36.0564,14.3664,0.07315931754372461,-0.04453600801984426
2023-11-03 17:00:00,36.0564,14.3664,0.0657240010470472,-0.045571552233401175
